X,Y,DATEEND,TIMESTART,TIMEEND,ADDRESS,QualityOfLife,CODE_DEFINED,LAT,LONG,ObjectId
-8476516.24614557,5311491.33169893,2021/05/02 04:00:00+00,1000,1321,100 AMIDON DR     ,False,OFFN AGAINST FAMILY,42.9968430000001,-76.145841,1
-8479620.05618786,5322321.931704,2022/06/12 04:00:00+00,1400,1412,1 DESTINY USA DR,False,OFFN AGAINST FAMILY,43.067961,-76.1737229999999,2
-8477618.80993081,5319295.72084822,2023/01/01 05:00:00+00,43,43,200 WALTON ST     ,False,DISORDERLY CONDUCT,43.048098,-76.155745499,3
-8477291.19678073,5319070.88521648,2023/01/01 05:00:00+00,113,113,400 N  SALINA ST     ,False,SIMPLE ASSAULT,43.0466220000001,-76.1528025,4
-8477553.6880287,5319927.75730566,2023/01/01 05:00:00+00,148,148,300 W  GENESEE ST     ,False,ALL OTHER OFFENSES,43.0522470000001,-76.155160499,5
-8477443.98289316,5319085.96548592,2023/01/01 05:00:00+00,538,538,500 S  CLINTON ST     ,False,SIMPLE ASSAULT,43.046721,-76.1541750009999,6
-8478541.53730131,5318251.10355444,2023/01/01 05:00:00+00,545,545,700 OSWEGO ST     ,False,CRIMINAL MISCHIEF,43.0412400000001,-76.1640345,7
-8472883.94682073,5318795.33185098,2023/01/01 05:00:00+00,701,701,2500 E  GENESEE ST     ,False,OFFN AGAINST FAMILY,43.044813,-76.1132115,8
-8475612.55451931,5324136.48292589,2023/01/01 05:00:00+00,820,820,700 DARLINGTON RD     ,False,DRIVING UNDER INFLUENCE,43.079868,-76.1377229999999,9
-8478541.53730131,5318251.10355444,2023/01/01 05:00:00+00,1248,1248,700 OSWEGO ST     ,False,CRIMINAL MISCHIEF,43.0412400000001,-76.1640345,10
-8476767.21593756,5322038.05422117,2023/01/01 05:00:00+00,1423,1423,500 CARBON ST     ,False,SIMPLE ASSAULT,43.0660980000001,-76.1480955,11
-8478333.14721455,5322897.94151659,2023/01/01 05:00:00+00,1806,1806,1200 CARBON ST     ,False,SIMPLE ASSAULT,43.071741,-76.1621625,12
-8474849.12545145,5315207.02541757,2023/01/01 05:00:00+00,1850,1850,300 VINCENT ST     ,False,SIMPLE ASSAULT,43.0212510000001,-76.130865,13
-8471974.24394197,5318167.48438346,2023/01/01 05:00:00+00,2325,2325,200 BROOKFORD RD     ,False,CRIMINAL MISCHIEF,43.040691,-76.1050395,14
-8477642.35400311,5321881.71958129,2023/01/02 05:00:00+00,117,117,300 W  KIRKPATRICK ST     ,False,SIMPLE ASSAULT,43.065072,-76.155956999,15
-8480657.49818231,5317155.88877369,2023/01/02 05:00:00+00,253,253,1700 W  ONONDAGA ST     ,False,SIMPLE ASSAULT,43.034049,-76.1830424999999,16
-8476786.25168181,5314195.7501306,2023/01/02 05:00:00+00,1306,1306,2600 MIDLAND AVE    ,False,SIMPLE ASSAULT,43.0146090000001,-76.148266501,17
-8476401.0304726,5322310.96043327,2023/01/02 05:00:00+00,1743,1743,200 FIRST NORTH ST     ,False,SIMPLE ASSAULT,43.067889,-76.144806,18
-8476738.66248818,5319966.14701444,2023/01/03 05:00:00+00,1654,1654,400 JAMES ST     ,False,OFFN AGAINST FAMILY,43.0524990000001,-76.147839,19
-8478420.31037584,5317664.41434322,2023/01/03 05:00:00+00,1752,1752,700 W  ONONDAGA ST     ,False,CRIMINAL MISCHIEF,43.0373880000001,-76.1629455,20
-8480015.79697764,5317440.98865011,2023/01/03 05:00:00+00,1838,1838,400 ROWLAND ST     ,False,POSSESSION/USE DANGEROUS WEAPONS,43.035921,-76.1772779999999,21
-8479620.05618786,5322321.931704,2020/12/23 05:00:00+00,1927,1927,1 DESTINY USA DR,False,OFFN AGAINST FAMILY,43.067961,-76.1737229999999,22
-8479345.04138586,5320192.37528778,2023/01/03 05:00:00+00,2344,2344,1000 W  GENESEE ST     ,False,POSSESSION/USE DANGEROUS WEAPONS,43.0539840000001,-76.1712525,23
-8476767.21593756,5322038.05422117,2023/01/04 05:00:00+00,1145,1145,500 CARBON ST     ,True,CRIMINAL MISCHIEF,43.0660980000001,-76.1480955,24
-8476379.99108884,5318626.71364986,2023/01/04 05:00:00+00,1130,1130,500 HARRISON ST     ,False,SIMPLE ASSAULT,43.043706,-76.144617,25
-8477231.08414438,5318644.53494196,2023/01/04 05:00:00+00,850,850,500 S  SALINA ST     ,False,SIMPLE ASSAULT,43.043823,-76.152262499,26
-8474120.76202319,5321401.76115726,2023/01/04 05:00:00+00,1225,1225,400 SHUART AVE    ,False,POSSESSION/USE DANGEROUS WEAPONS,43.061922,-76.1243219999999,27
-8476334.90658375,5320234.87939284,2023/01/04 05:00:00+00,1422,1422,600 JAMES ST     ,False,POSSESSION/USE DANGEROUS WEAPONS,43.054263,-76.1442119989999,28
-8469837.74461491,5318558.17053548,2023/01/04 05:00:00+00,1706,1706,100 GIFFORD ST     ,False,ALL OTHER OFFENSES,43.043256,-76.0858469999999,29
-8479345.04138586,5320192.37528778,2023/01/04 05:00:00+00,1659,1659,1000 W  GENESEE ST     ,True,CRIMINAL MISCHIEF,43.0539840000001,-76.1712525,30
-8476337.41149493,5318299.08210511,2023/01/04 05:00:00+00,1744,1744,1000 S  MCBRIDE ST     ,False,CRIMINAL MISCHIEF,43.0415550000001,-76.144234501,31
-8479837.96409109,5315209.76614964,2023/01/04 05:00:00+00,1230,628,300 CARLTON RD     ,False,FRAUD,43.0212690000001,-76.1756804999999,32
